lat,lng,,,,,Lat2,Lng2
34.35,108.7167,,,,,71.4504,89.25
25.2819,110.2864,,,,,57.367,139.5
33.7628,-84.422,,,,,63.6667,71.3333
32.4831,119.9,,,,,81.7166,-17.8
33.9833,51.4333,,,,,62.5333,-42.2167
33.8626,115.7742,,,,,-16.7795,-60.6799
5.3167,-4.0333,,,,,74.0165,111.51
33.9331,118.2831,,,,,45.7667,62.1
27.5494,109.9592,,,,,48.6917,55.874
27.1172,114.9793,,,,,-18.6508,-173.9831
30.9273,113.911,,,,,21.74,103.343
33.735,113.2999,,,,,5.2667,17.65
29.7048,116.0021,,,,,52.4997,73.0997
31.1975,29.8925,,,,,52.698,62.5749
31.4669,104.7385,,,,,-0.6519,13.6778
-33.8678,151.21,,,,,7.5006,134.6241
34.795,114.345,,,,,-13.55,23.1167
38.9047,-77.0163,,,,,-17.6077,36.8197
41.3825,2.1769,,,,,-21.9381,15.8544
28.1987,112.9709,,,,,51.7502,71.7099
25.7989,113.0267,,,,,62.666,135.6
30.5,117.0333,,,,,-2.4014,11.3589
22.5833,113.0833,,,,,-16.3611,-58.4053
34.5906,119.1801,,,,,66.6814,34.3455
28.7596,104.64,,,,,-16.2748,-62.5072
32.3912,119.4363,,,,,67.4833,78.7167
-37.8142,144.9631,,,,,53.2333,87.3167
52.52,13.405,,,,,5.7504,8.9833
37.7348,115.686,,,,,-25.961,31.247
2.3445,-76.6839,,,,,22.6783,-12.7114
25.0433,102.7061,,,,,71.6269,128.835
28.5833,112.3333,,,,,60.63,6.441
23.0961,109.6092,,,,,59.383,143.217
43.9,125.2,,,,,44.5167,50.2667
34.0244,113.8201,,,,,-2.3889,40.4378
33.5333,-7.5833,,,,,64.2833,100.2167
24.2998,116.1191,,,,,30.4837,-115.95
40.8108,114.8811,,,,,8.0667,22.4
42.2663,118.9223,,,,,-27.0796,-55.75
43.8225,87.6125,,,,,49.626,63.499
31.3,120.6194,,,,,63.0128,112.4714
38.42,27.14,,,,,-24.4167,-57.1167
36.0812,111.5087,,,,,-12.5329,131.05
23.3735,116.6941,,,,,27.0583,27.97
34.5253,69.1783,,,,,-22.2896,-57.94
2.0392,45.3419,,,,,56.2167,162.55
28.8918,105.4409,,,,,1.0167,13.9333
31.8639,117.2808,,,,,-19.5533,-65.4536
42.3188,-71.0852,,,,,5.0164,-55.1669
24.3264,109.4281,,,,,1.51,21.05
23.05,112.4667,,,,,63.9241,127.4739
30.7083,111.2803,,,,,71.9797,102.4728
38.0422,114.5086,,,,,25.6959,28.8837
29.875,121.5492,,,,,46.1167,73.6167
27.9814,116.3577,,,,,-24.2162,45.3166
33.5722,-112.0892,,,,,67.656,134.635
27.8407,113.1469,,,,,62.5333,155.8
31.9497,35.9328,,,,,56.135,111.7339
32.3062,118.3115,,,,,-16.9817,-67.2167
21.5433,39.1728,,,,,18.905,-3.5283
23.6842,113.0507,,,,,40.8175,128.1553
27.7378,111.9974,,,,,59.4515,112.5578
37.3806,118.0125,,,,,59.084,159.95
31.1289,104.395,,,,,68.7501,161.33
37.8733,112.5425,,,,,-32.1167,133.6667
12,8.5167,,,,,65.736,150.89
31.334,118.3622,,,,,51.4666,140.7833
22.8192,108.315,,,,,-24.08,-55.5
45.75,126.6333,,,,,-15.1757,37.74
9.0667,7.4833,,,,,-32.5667,-69.3167
35.4442,139.6381,,,,,-37.6996,-63.1666
34.3609,107.1751,,,,,52.9833,116.9166
34.8667,117.55,,,,,64.7333,177.7
24.4797,118.0819,,,,,-14.4083,23.2667
29.5872,105.0635,,,,,48.4172,142.0869
26.0769,119.2917,,,,,-25.05,-57.09
23.901,106.6194,,,,,60.4566,134.5433
41.1066,122.9895,,,,,-26.0296,-55.94
3.5894,98.6739,,,,,22.6667,-3.9833
38.2655,109.7388,,,,,-21.4167,-64.7494
27.9991,120.6561,,,,,64.26,60.9083
31.8122,119.9692,,,,,-39.8829,-62.5833
35.7639,115.03,,,,,-21.5264,-64.1733
35.229,113.2304,,,,,29.7425,24.5169
28.6842,115.8872,,,,,25.2167,-11.6167
7.3964,3.9167,,,,,65.7461,-19.6394
24.6928,108.085,,,,,64.4235,-173.2258
42.3834,-83.1024,,,,,70.6183,147.8946
45.5089,-73.5617,,,,,29.2333,19.2167
35.18,129.075,,,,,-22.0333,-60.6333
40.8151,111.6629,,,,,-5.4297,154.6711
47.6211,-122.3244,,,,,-23.91,-55.46
36.7539,3.0589,,,,,-39.2166,-73.2123
33.0794,107.026,,,,,-3.0382,28.4325
